id,name,location.address,location.locality,location.city,location.city_id,location.latitude,location.longitude,location.zipcode,location.country_id,location.locality_verbose,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,user_rating.aggregate_rating,user_rating.rating_text,user_rating.rating_color,user_rating.votes,has_online_delivery,is_delivering_now,has_table_booking
16668008,Arigato Sushi,"14 Second Ave North, Yorkton, SK S3N 1G1",Yorkton,Yorkton,3600,51.2106824,-102.4613173,S3N 1G1,37,"Yorkton, Yorkton",0,Asian,25,2,$,3.3,Average,CDD614,26,0,0,0
801690,Mocha,"CP-1, 2nd Floor, Anand Plaza, Viram Khand-1, Near Patrakarpuram Crossing, Gomti Nagar, Lucknow",Gomti Nagar,Lucknow,8,26.8528099,81.0011849,226010,1,"Gomti Nagar, Lucknow",0,"Cafe, Italian, Continental",800,3,Rs.,4.6,Excellent,3F7E00,567,0,0,0
17558738,Blue House Cafe,"919 Bridge St, Vernonia, OR 97064",Vernonia,Vernonia,8351,45.858667,-123.1954368,97064,216,"Vernonia, Vernonia",0,"Coffee and Tea, Mediterranean",10,1,$,4.3,Very Good,5BA829,88,0,0,0
16611701,Star Buffet,"58 Hanbury St, Mayfield, NSW",Mayfield,Mayfield,2249,-32.899178,151.7343832,2304,14,"Mayfield, Mayfield",0,Asian,20,2,$,2.9,Average,FFBA00,11,0,0,0
2100784,11th Avenue Cafe Bistro,"Opposite Assam State Museum, Dighalipukhuri, Tayabullah Road, Uzan Bazaar, Guwahati",Uzan Bazaar,Guwahati,21,26.1860014826,91.7523143068,,1,"Uzan Bazaar, Guwahati",0,"Cafe, American, Italian, Continental",400,2,Rs.,4.1,Very Good,5BA829,377,0,0,0
801269,Vintage Machine,"3/11 Patrakar Puram, Gomti Nagar, Lucknow",Gomti Nagar,Lucknow,8,26.8536376008,81.0004396542,226010,1,"Gomti Nagar, Lucknow",0,"Italian, American, Lebanese",1000,3,Rs.,4.3,Very Good,5BA829,887,0,0,0
18483082,Artistry,17 Jalan Pinang 199149,"Sungai Pinang, Rochor",Singapore,52,1.3030346478,103.858181255,199149,184,"Sungai Pinang, Rochor, Singapore",0,"American, Bakery, European, Burger, Fusion",50,3,$,3.8,Good,9ACD32,28,0,0,0
18483252,Artichoke Cafe,"161 Middle Road, Sculpture Square 188978","Victoria, Rochor",Singapore,52,1.2997077261,103.851994292,188978,184,"Victoria, Rochor, Singapore",0,"Cafe, Spanish, Turkish, Greek",75,4,$,3.2,Average,CDD614,33,0,0,0
16615894,The Giggling Goat,"14 Beerburrum St, Dicky Beach, QLD",Dicky Beach,Dicky Beach,2575,-26.783576,153.137401,4551,14,"Dicky Beach, Dicky Beach",0,"Coffee and Tea, Tea, Modern Australian",7,1,$,3.6,Good,9ACD32,29,0,0,0
16605194,Pig and Whistle,"Pearsons Rd, Trentham East, VIC",Trentham East,Trentham East,1556,-37.396942,144.41272,3458,14,"Trentham East, Trentham East",0,Australian,20,2,$,4.1,Very Good,5BA829,87,0,0,0
